,0
relate,491
read,1545
write,601
say,985
stretch,14
show,4985
mention,197
turn,346
point,120
tell,17
close,260
open,214
assure,102
explain,286
disclose,432
convey,59
raise,138
respond,195
stub,1
pull,43
notify,16
instruct,45
stamp,16
note,392
repeat,165
break,92
reveal,9
cut,110
hang,1
observe,90
cross,40
call,199
propose,59
alert,18
speak,20
state,79
bite,11
suggest,39
fold,48
cock,1
signal,140
claim,16
shuffle,1
beam,17
object,10
roll,15
teach,13
recommend,6
split,13
reel,14
wire,31
purpose,4
inform,13
wave,99
burn,4
demonstrate,24
elaborate,4
admit,15
ask,87
inquire,56
dictate,14
cite,15
drum,4
grind,41
report,21
bleed,3
snap,3
choke,1
reply,4
recoil,1
hurt,1
intimate,1
relay,22
flash,36
advise,12
broadcast,4
promulgate,1
dwell,2
flex,3
scratch,5
acknowledge,10
pry,3
chip,1
reiterate,6
announce,1
recite,5
rub,1
wrinkle,2
twist,7
encourage,1
spin,6
declare,4
justify,7
shrink,1
consult,2
arch,2
pose,6
elucidate,1
strain,3
flush,3
blow,1
warn,3
telephone,1
bow,4
argue,1
sign,3
radio,1
modem,1
knit,6
shake,2
flutter,1
cable,1
