patent_id,Unnamed: 0,Unnamed: 0.1,text
4965079,0,0,"[u'strain', u'obtain', u'pack', u'solid', u'protein', u'combination', u'suspension', u'content', u'packed', u'consistency', u'sugar', u'c', u'agent', u'accord', u'fat', u'rope', u'select', u'adjust', u'consist', u'milk', u'claim', u'product', u'include', u'matter', u'minute', u'packaging', u'weight', u'dry', u'least', u'process', u'temperature', u'group', u'hour', u'provide']"
4488717,1,1,"[u'transport', u'scan', u'engagement', u'scanning', u'horizontal', u'device', u'relative', u'locate', u'adjacent', u'feed', u'motion', u'substantially', u'drop', u'push', u'plane', u'desire', u'directly', u'associate', u'claim', u'raise', u'drive', u'common', u'include', u'movement', u'define', u'move', u'engage', u'leave', u'position', u'system', u'receive', u'control', u'say', u'second', u'support', u'mean', u'also', u'onto', u'lower', u'continue', u'place', u'along', u'first', u'provide', u'arm', u'toward', u'away', u'bed', u'one', u'hand']"
5034160,2,2,"[u'clay', u'le', u'fiber', u'application', u'expand', u'cement', u'distribution', u'combination', u'content', u'density', u'pound', u'present', u'agent', u'bulk', u'plaster', u'exhibit', u'particle', u'organic', u'spray', u'composition', u'select', u'adjust', u'consist', u'ratio', u'component', u'magnesium', u'apply', u'generate', u'initial', u'force', u'mixture', u'claim', u'addition', u'construction', u'insulation', u'upon', u'form', u'alone', u'property', u'weight', u'foot', u'material', u'dry', u'least', u'process', u'great', u'size', u'wet', u'say', u'per', u'metal', u'cause', u'group', u'amount', u'average', u'increase', u'glass', u'provide', u'high', u'percent', u'water']"
4630615,3,3,"[u'counting', u'count', u'sample', u'load', u'port', u'magnitude', u'measuring', u'apparatus', u'improvement', u'negative', u'reference', u'duration', u'comparing', u'constant', u'approximately', u'tissue', u'present', u'absolute', u'pulse', u'contact', u'connection', u'carry', u'trigger', u'input', u'lead', u'adapt', u'accord', u'cord', u'compare', u'connect', u'generation', u'circuit', u'begin', u'charge', u'sampling', u'generate', u'stimulating', u'supply', u'claim', u'output', u'type', u'include', u'current', u'power', u'change', u'source', u'value', u'require', u'great', u'control', u'say', u'second', u'another', u'per', u'body', u'number', u'couple', u'period', u'mean', u'rate', u'generating', u'place', u'increase', u'slowly', u'time', u'one']"
4866997,4,4,"[u'le', u'receiving', u'sample', u'tip', u'digital', u'grain', u'expanded', u'chamber', u'expand', u'measure', u'withdrawn', u'closing', u'insert', u'meter', u'fully', u'extended', u'swing', u'lock', u'probe', u'flap', u'display', u'attach', u'cover', u'automatically', u'compact', u'rigid', u'characteristic', u'opposite', u'element', u'opening', u'substantially', u'restrict', u'length', u'shaft', u'axis', u'claim', u'parallel', u'flow', u'external', u'determine', u'include', u'store', u'movement', u'define', u'respect', u'upon', u'environmental', u'pair', u'run', u'position', u'degree', u'third', u'relationship', u'thereby', u'least', u'close', u'temperature', u'closer', u'receive', u'point', u'say', u'side', u'second', u'direction', u'couple', u'mean', u'either', u'end', u'closed', u'within', u'along', u'first', u'open', u'away', u'one', u'less']"
4980848,5,5,"[u'mount', u'visual', u'assembly', u'electrical', u'battery', u'rectangular', u'permit', u'portable', u'unit', u'display', u'vent', u'attach', u'portion', u'cover', u'dimension', u'contain', u'keyboard', u'processing', u'defines', u'memory', u'contains', u'vertical', u'substantially', u'rear', u'generally', u'project', u'circuit', u'disk', u'component', u'construct', u'cool', u'video', u'immediately', u'base', u'claim', u'parallel', u'flow', u'lid', u'drive', u'include', u'central', u'board', u'define', u'extend', u'access', u'upper', u'produce', u'separate', u'position', u'view', u'area', u'least', u'close', u'process', u'entire', u'heat', u'air', u'low', u'control', u'say', u'space', u'side', u'additional', u'part', u'support', u'forward', u'relatively', u'top', u'bottom', u'thin', u'wall', u'also', u'computer', u'may', u'behind', u'major', u'provide', u'open', u'across', u'one', u'less']"
4299371,6,6,"[u'receiving', u'relation', u'assembly', u'rotation', u'float', u'secure', u'contact', u'portion', u'finish', u'carry', u'ring', u'opposite', u'pin', u'plate', u'communication', u'travel', u'ball', u'shape', u'claim', u'include', u'form', u'upper', u'engage', u'position', u'stop', u'low', u'say', u'space', u'part', u'prevent', u'half', u'mean', u'use', u'end', u'neck', u'shoulder', u'open', u'head', u'one']"
5118608,7,7,"[u'sample', u'biological', u'bind', u'synthetic', u'zone', u'layer', u'measure', u'binding', u'bound', u'index', u'suppress', u'profile', u'contact', u'mutually', u'partner', u'technique', u'transmission', u'angle', u'exceed', u'plane', u'normal', u'band', u'detection', u'claim', u'range', u'chemical', u'determine', u'include', u'form', u'coat', u'organism', u'change', u'capable', u'specific', u'order', u'view', u'material', u'article', u'least', u'surface', u'single', u'say', u'part', u'plastic', u'use', u'onto', u'result', u'glass', u'light', u'different', u'two']"
4829490,8,8,"[u'monitor', u'prior', u'digital', u'relation', u'envelope', u'threshold', u'shift', u'contribution', u'temporarily', u'combine', u'unwanted', u'magnitude', u'storage', u'decay', u'background', u'thereafter', u'reference', u'prevailing', u'electrical', u'distribution', u'scan', u'monitoring', u'constant', u'sequence', u'combination', u'translate', u'respective', u'combining', u'present', u'investigate', u'convert', u'retrieve', u'independent', u'signal', u'successive', u'portion', u'absence', u'connection', u'presence', u'cancel', u'contain', u'input', u'subsequent', u'processing', u'operate', u'initially', u'applied', u'substantially', u'compare', u'connect', u'transmission', u'relate', u'exceed', u'combined', u'method', u'component', u'restrict', u'operating', u'lie', u'contribute', u'associate', u'claim', u'electronics', u'associated', u'range', u'output', u'determine', u'modify', u'include', u'store', u'movement', u'free', u'inherent', u'towards', u'enable', u'respect', u'interval', u'effect', u'gate', u'form', u'eliminate', u'produce', u'source', u'level', u'noise', u'position', u'value', u'system', u'response', u'derive', u'least', u'process', u'set', u'control', u'step', u'say', u'second', u'whose', u'mean', u'likely', u'use', u'may', u'amount', u'result', u'interest', u'within', u'together', u'increase', u'different', u'first', u'provide', u'time']"
4800782,9,9,"[u'bearing', u'slide', u'fix', u'clutch', u'thrust', u'gear', u'rotation', u'engagement', u'bear', u'bias', u'portion', u'cover', u'compatible', u'input', u'carrier', u'planet', u'ring', u'transmission', u'cone', u'opposition', u'restrict', u'shaft', u'force', u'associate', u'claim', u'engine', u'output', u'movement', u'spring', u'form', u'engage', u'capable', u'firm', u'position', u'brake', u'surface', u'set', u'say', u'second', u'allow', u'support', u'direction', u'mean', u'earlier', u'end', u'way', u'along', u'first', u'provide', u'sun', u'work', u'toward', u'one']"
4870084,10,10,"[u'p', u'x', u'b', u'f', u'individually', u'n', u'acid', u'co', u'w', u'prevention', u'compound', u'attach', u'h', u'plus', u'nausea', u'carrier', u'acceptable', u'formula', u'carbon', u'ring', u'accord', u'hydrogen', u'composition', u'sum', u'select', u'consist', u'method', u'effective', u'salt', u'atom', u'claim', u'addition', u'subject', u'form', u'treatment', u'suitable', u'nine', u'great', u'say', u'prevent', u'nitrogen', u'group', u'use', u'amount', u'together', u'six', u'four', u'five', u'member', u'one', u'take']"
4459987,11,11,"[u'passing', u'prior', u'void', u'combine', u'layer', u'essentially', u'roll', u'attached', u'approximately', u'intimate', u'expose', u'cured', u'device', u'forming', u'rub', u'attach', u'contact', u'composite', u'agent', u'carry', u'sheet', u'press', u'bond', u'contains', u'flexible', u'opposite', u'initially', u'foam', u'complete', u'consist', u'method', u'sandwich', u'apply', u'liquid', u'pad', u'inch', u'excess', u'cure', u'remove', u'claim', u'inches', u'reduction', u'pass', u'include', u'define', u'uniform', u'tough', u'effect', u'form', u'pour', u'apart', u'third', u'reduce', u'area', u'least', u'temperature', u'throughout', u'surface', u'step', u'say', u'space', u'side', u'second', u'allow', u'edge', u'also', u'use', u'human', u'onto', u'together', u'different', u'first', u'state', u'work', u'skin', u'toward', u'one', u'room', u'like', u'two']"
