patent_id,Unnamed: 0,Unnamed: 0.1,text
4339986,0,0,"[u'deflect', u'torsion', u'connector', u'pinion', u'coincident', u'align', u'fixedly', u'spool', u'longitudinally', u'coaxial', u'ax', u'incremental', u'deflecting', u'rack', u'steer', u'movable', u'therewith', u'mesh', u'rotational', u'gear', u'deflection', u'comprise', u'sleeve', u'rotate', u'engagement', u'piston', u'one', u'another', u'wheel', u'wherein', u'hollow', u'rod', u'bar', u'least', u'chamber', u'first', u'use', u'turn', u'enabling', u'set', u'cylinder', u'longitudinal', u'axes', u'upon', u'connection', u'large', u'forth', u'include', u'port', u'mean', u'condition', u'expose', u'vehicle', u'valve', u'small', u'spring', u'relationship', u'transmit', u'resist', u'rotation', u'within', u'initial', u'adjacent', u'central', u'apply', u'apparatus', u'ratio', u'distance', u'pressure', u'variable', u'connect', u'area', u'second', u'system', u'independent', u'substantially', u'tube', u'end', u'head', u'relative', u'11', u'member', u'define', u'movement', u'force', u'power', u'say', u'housing', u'fluid', u'effect', u'portion', u'provide', u'occur', u'le', u'pair', u'adapt', u'dividing', u'effective', u'dispose', u'16', u'22', u'equal', u'28', u'extend', u'claim', u'side', u'direction', u'move', u'enable', u'axis', u'surface', u'along', u'1', u'10', u'8', u'speed', u'volume', u'21', u'24', u'increase', u'rate', u'19', u'29', u'4', u'approximately', u'sum', u'motor']"
4399079,1,1,"[u'subdivide', u'passageway', u'agitate', u'throttle', u'droplet', u'baffle', u'vaporization', u'admixture', u'extraneous', u'adjustable', u'upstream', u'stabilizing', u'combustible', u'vaporize', u'horizontally', u'elongate', u'conduit', u'prim', u'therewith', u'downstream', u'manifold', u'plurality', u'aperture', u'explosive', u'suction', u'therefrom', u'volatile', u'tubular', u'comprise', u'finely', u'initially', u'continuously', u'suspend', u'also', u'ambient', u'present', u'resultant', u'spaced', u'oval', u'normally', u'inlet', u'thereon', u'wherein', u'thus', u'agitation', u'freshly', u'result', u'great', u'without', u'whereby', u'time', u'first', u'run', u'check', u'distribute', u'applying', u'thereto', u'otherwise', u'form', u'thereby', u'aid', u'transverse', u'uniformly', u'internal', u'reaching', u'therein', u'subject', u'combustion', u'sectional', u'may', u'cylinder', u'need', u'sink', u'admit', u'closed', u'intake', u'withdrawal', u'liquid', u'violent', u'large', u'open', u'fuel', u'drain', u'point', u'include', u'pass', u'respect', u'response', u'introducing', u'withdrawn', u'atmospheric', u'mean', u'space', u'condition', u'carry', u'desire', u'valve', u'excess', u'cross', u'relationship', u'render', u'desired', u'insufficient', u'particle', u'remote', u'within', u'adjacent', u'withdraw', u'apply', u'communication', u'sufficiently', u'operate', u'apparatus', u'reach', u'ratio', u'phase', u'pressure', u'method', u'cause', u'divide', u'becomes', u'thereof', u'storage', u'operative', u'body', u'retain', u'area', u'second', u'operating', u'generate', u'allow', u'vapor', u'adjust', u'substantially', u'free', u'end', u'arrange', u'exceed', u'fresh', u'close', u'sufficient', u'require', u'vessel', u'member', u'supply', u'control', u'generally', u'via', u'movement', u'production', u'position', u'content', u'locate', u'vigorous', u'say', u'top', u'improvement', u'5', u'wall', u'2', u'low', u'across', u'necessary', u'size', u'portion', u'provide', u'contain', u'bottom', u'opening', u'prevent', u'produce', u'demand', u'meet', u'protected', u'12', u'interior', u'additional', u'effective', u'reduce', u'flow', u'maintain', u'extend', u'protect', u'claim', u'introduce', u'upper', u'vary', u'surface', u'15', u'1', u'substantial', u'passage', u'8', u'speed', u'heat', u'13', u'efficient', u'back', u'rate', u'19', u'atmosphere', u'section', u'less', u'maintaining', u'air', u'prior', u'level', u'temperature', u'serve', u'add', u'23', u'engine', u'source', u'mixture', u'amount']"
4290781,2,2,"[u'airfoil', u'integrally', u'lubricant', u'stator', u'preferentially', u'compressor', u'isotopic', u'enrich', u'laminar', u'porous', u'centrifugal', u'sedimentation', u'plurality', u'rotor', u'suction', u'turbine', u'concave', u'centimeter', u'mole', u'comprise', u'pore', u'molar', u'helium', u'therefor', u'axial', u'201', u'persistence', u'one', u'alternate', u'pas', u'wherein', u'exceeds', u'blade', u'great', u'compression', u'curvature', u'least', u'time', u'row', u'group', u'smooth', u'select', u'curved', u'differential', u'zone', u'separation', u'collision', u'displacement', u'path', u'radius', u'basis', u'acceleration', u'average', u'large', u'point', u'separate', u'pass', u'respect', u'mean', u'molecular', u'condition', u'minor', u'step', u'g', u'product', u'conduct', u'particle', u'rotation', u'initial', u'adjacent', u'array', u'ratio', u'major', u'distance', u'method', u'field', u'concentrate', u'boundary', u'fraction', u'component', u'gas', u'substantially', u'free', u'exceed', u'seed', u'relative', u'composition', u'weight', u'say', u'proportion', u'17', u'unit', u'concentrated', u'3', u'travel', u'2', u'size', u'strength', u'heavy', u'layer', u'provide', u'calculation', u'le', u'factor', u'produce', u'consist', u'velocity', u'hydrogen', u'immediately', u'12', u'effective', u'range', u'curve', u'thin', u'flow', u'maintain', u'claim', u'thickness', u'different', u'stage', u'direction', u'move', u'axis', u'surface', u'along', u'1', u'light', u'10', u'25', u'8', u'speed', u'respective', u'13', u'rate', u'19', u'accordance', u'high', u'14', u'less', u'20', u'sum', u'molecule', u'percent', u'per', u'mixture', u'50']"
4301433,3,3,"[u'plunger', u'resilient', u'operatively', u'solenoid', u'p2', u'breaker', u'detain', u'hooked', u'activate', u'slot', u'indicia', u'electrically', u'activates', u'elongate', u'movable', u'externally', u'completes', u'actuate', u'shunt', u'hook', u'comprise', u'pin', u'preclude', u'normally', u'closure', u'wherein', u'thus', u'initiate', u'mount', u'multiple', u'urge', u'either', u'switch', u'display', u'whereby', u'first', u'bias', u'closing', u'panel', u'drive', u'whether', u'bearing', u'discharge', u'open', u'sustain', u'include', u'response', u'contact', u'mean', u'carry', u'activation', u'function', u'indicate', u'hold', u'spring', u'assumes', u'away', u'release', u'couple', u'lose', u'operate', u'apparatus', u'arm', u'impose', u'seat', u'window', u'thereof', u'connect', u'second', u'external', u'assume', u'end', u'close', u'member', u'control', u'define', u'movement', u'charge', u'force', u'toward', u'position', u'say', u'virtue', u'action', u'acting', u'3', u'cover', u'defeat', u'opening', u'face', u'effective', u'7', u'dispose', u'third', u'series', u'extend', u'claim', u'6', u'receive', u'electric', u'direction', u'1', u'due', u'mechanism', u'electrical', u'8', u'circuit', u'trip', u'act', u'despite', u'source', u'motion']"
4148799,4,4,"[u'abovementioned', u'aliphatic', u'alkyl', u'aryl', u'phenyl', u'hydrocarbon', u'halogen', u'immiscible', u'ar', u'nitro', u'benzene', u'aromatic', u'naphthalene', u'comprise', u'formula', u'one', u'present', u'intermediate', u'wherein', u'aqueous', u'compound', u'either', u'addition', u'without', u'least', u'isolation', u'solvent', u'group', u'use', u'employ', u'yield', u'form', u'substitute', u'point', u'separate', u'accord', u'carry', u'indicate', u'product', u'independently', u'reaction', u'90', u'80', u'boil', u'phase', u'radical', u'combination', u'represent', u'strength', u'provide', u'contain', u'iii', u'hydrogen', u'process', u'range', u'preparation', u'series', u'claim', u'water', u'1', u'react', u'meaning', u'4', u'c', u'temperature', u'amino', u'per', u'mixture', u'solution', u'amount', u'naphthyl']"
4195552,5,5,"[u'operatively', u'flange', u'annular', u'molded', u'adjustable', u'liner', u'upstream', u'seating', u'conical', u'knob', u'unitary', u'threaded', u'radially', u'predetermined', u'movable', u'cushion', u'comprises', u'downstream', u'mold', u'tubular', u'comprise', u'plural', u'orifice', u'linearly', u'engagement', u'adjusting', u'one', u'static', u'exhaust', u'seal', u'normally', u'fix', u'wherein', u'stem', u'mount', u'needle', u'exterior', u'meter', u'limiting', u'first', u'bias', u'solid', u'check', u'passing', u'select', u'element', u'form', u'parallel', u'differential', u'38', u'passages', u'terminate', u'closed', u'thread', u'ball', u'33', u'connection', u'open', u'include', u'port', u'mean', u'freely', u'condition', u'extended', u'32', u'valve', u'excess', u'spring', u'limit', u'type', u'past', u'flat', u'apply', u'apparatus', u'inner', u'seat', u'37', u'reduced', u'pressure', u'operative', u'body', u'second', u'nose', u'inside', u'precisely', u'allow', u'two', u'operation', u'adjust', u'end', u'combination', u'close', u'relative', u'40', u'construct', u'member', u'control', u'define', u'movement', u'position', u'say', u'5', u'fluid', u'action', u'3', u'2', u'engage', u'portion', u'provide', u'cover', u'mention', u'face', u'12', u'reduce', u'7', u'dispose', u'16', u'22', u'third', u'31', u'28', u'flow', u'maintain', u'extend', u'claim', u'6', u'direction', u'move', u'surface', u'1', u'passage', u'25', u'8', u'circuit', u'24', u'4', u'14', u'structure', u'20', u'air', u'determining', u'exert', u'26', u'source', u'9']"
4086204,6,6,"[u'pip', u'1n', u'halide', u'successively', u'alkyl', u'polypropylene', u'hb', u'aryl', u'01', u'halogen', u'bromine', u'nh', u'inert', u'polyethylene', u'proviso', u'comprise', u'molar', u'chlorine', u'incorporate', u'formula', u'synthetic', u'one', u'inorganic', u'wherein', u'polymer', u'fiber', u'residue', u'terminal', u'h', u'compound', u'least', u'methyl', u'z', u'solvent', u'group', u'substituted', u'select', u'form', u'base', u'material', u'substitute', u'r', u'integer', u'124', u'organic', u'general', u'straight', u'mean', u'film', u'accord', u'n', u'condition', u'oh', u'nitrogen', u'product', u'previously', u'151', u'rule', u'112', u'presence', u'zero', u'ratio', u'boil', u'method', u'radical', u'121', u'b', u'11', u'member', u'represent', u'define', u'composition', u'atom', u'weight', u'refer', u'x', u'say', u'branch', u'chain', u'2', u'contain', u'produce', u'consist', u'hydrogen', u'effective', u'16', u'22', u'o', u'claim', u'stability', u'6', u'0', u'different', u'1', u'react', u'115', u'obtain', u'light', u'25', u'8', u'increase', u'14', u'c', u'temperature', u'add', u'100', u'y', u'9', u'solution', u'amount']"
4215015,7,7,"[u'decompose', u'halide', u'exchangeable', u'slurry', u'silicate', u'buff', u'anionic', u'cationic', u'disperse', u'anion', u'angstrom', u'polyacrylamide', u'cation', u'catalytic', u'alkali', u'sulfate', u'spray', u'comprise', u'pore', u'acetate', u'nitrate', u'characterize', u'periodic', u'crystalline', u'ammonia', u'composite', u'one', u'inorganic', u'intermediate', u'aqueous', u'polymer', u'acetic', u'catalyst', u'addition', u'gel', u'time', u'first', u'mixing', u'275', u'drying', u'group', u'dilute', u'aluminum', u'select', u'element', u'mineral', u'matrix', u'basis', u'organic', u'dry', u'separate', u'buffer', u'respect', u'step', u'minute', u'product', u'subsequent', u'ion', u'mix', u'soluble', u'earth', u'thereafter', u'b', u'adjust', u'exchange', u'ph', u'rare', u'sufficient', u'40', u'11', u'together', u'weight', u'sodium', u'say', u'5', u'3', u'2', u'prepare', u'size', u'medium', u'effect', u'raise', u'f', u'consist', u'35', u'12', u'acid', u'range', u'7', u'hour', u'salt', u'maintain', u'extend', u'claim', u'water', u'1', u'site', u'obtain', u'10', u'characterized', u'8', u'period', u'age', u'c', u'prior', u'temperature', u'add', u'percent', u'manufacture', u'100', u'metal', u'diameter', u'30', u'9', u'mixture', u'table', u'solution', u'50']"
4067452,8,8,"[u'outwardly', u'operatively', u'receptacle', u'hopper', u'inwardly', u'centrally', u'upwardly', u'sealing', u'distributor', u'laterally', u'predetermined', u'sens', u'sensing', u'comprises', u'particulate', u'actuate', u'plurality', u'comprise', u'perimeter', u'comprising', u'bell', u'continuously', u'lock', u'seal', u'pas', u'temporarily', u'out', u'rod', u'gravity', u'without', u'chamber', u'halt', u'first', u'introduction', u'upright', u'temporary', u'discharge', u'therein', u'material', u'weigh', u'need', u'closed', u'store', u'path', u'permit', u'open', u'approach', u'port', u'mean', u'stock', u'valve', u'deposit', u'indicate', u'downward', u'small', u'cross', u'hold', u'entrance', u'discharged', u'outer', u'within', u'initial', u'operate', u'apparatus', u'spread', u'inner', u'holding', u'pressure', u'cause', u'empty', u'thereafter', u'storage', u'body', u'retain', u'outside', u'second', u'gas', u'final', u'substantially', u'sense', u'close', u'relative', u'associate', u'loss', u'maximum', u'11', u'member', u'harmful', u'generally', u'movement', u'charge', u'weight', u'fall', u'position', u'locate', u'say', u'top', u'5', u'proximity', u'3', u'2', u'low', u'directly', u'portion', u'provide', u'occur', u'contain', u'bottom', u'opening', u'center', u'adapt', u'adapted', u'additional', u'7', u'claim', u'introduce', u'opened', u'upper', u'receive', u'degree', u'move', u'surface', u'1', u'location', u'height', u'section', u'14', u'act', u'source', u'9', u'amount']"
4030528,9,9,"[u'synchronized', u'transversely', u'successively', u'packer', u'spout', u'conveyor', u'positioning', u'pneumatic', u'activate', u'arcuate', u'traverse', u'roller', u'discharging', u'activates', u'rotary', u'predetermined', u'movable', u'uppermost', u'transferring', u'stack', u'stacked', u'hydraulic', u'transporting', u'comprise', u'packing', u'comprising', u'pack', u'rotated', u'sack', u'slide', u'orient', u'one', u'retaining', u'cement', u'thereon', u'wherein', u'screen', u'thus', u'monitor', u'bundle', u'automatically', u'result', u'powder', u'place', u'without', u'relation', u'least', u'successive', u'whereby', u'first', u'push', u'reception', u'automatic', u'bag', u'thereby', u'upright', u'discharge', u'monitoring', u'material', u'driving', u'horizontal', u'belt', u'cylinder', u'rest', u'transfer', u'path', u'permit', u'vertical', u'include', u'pass', u'response', u'minimum', u'mean', u'foremost', u'accord', u'lie', u'manner', u'condition', u'activation', u'valve', u'filling', u'hold', u'relationship', u'transmit', u'onto', u'assumes', u'holder', u'feed', u'flat', u'device', u'signal', u'adjacent', u'deviation', u'operate', u'apparatus', u'reach', u'advance', u'method', u'thereof', u'connect', u'retain', u'outside', u'second', u'generate', u'associated', u'substantially', u'end', u'fill', u'arrange', u'dependent', u'relative', u'associate', u'around', u'member', u'supply', u'control', u'generally', u'movement', u'toward', u'position', u'locate', u'say', u'partly', u'band', u'transport', u'3', u'detect', u'2', u'convey', u'low', u'number', u'removal', u'portion', u'provide', u'receiving', u'flexible', u'assumption', u'adapt', u'respectively', u'range', u'16', u'towards', u'maintain', u'claim', u'upper', u'receive', u'remove', u'direction', u'move', u'support', u'along', u'15', u'1', u'due', u'mechanism', u'8', u'height', u'19', u'high', u'4', u'removed', u'maintaining', u'level', u'plane', u'lower', u'9']"
