,patent_id,text
0,4788330,"A pharmaceutical composition having antihypercholesterolemic activity or antiarteriosclerotic activity, which comprises a polyprenyl compound having the formula: ##STR76## wherein A, B, Y and Z are hydrogens, or the pair A and B, and the pair Y and Z, each form a single valence bond between the carbon atoms to which they are attached, n is an integer of 0 to 2, X is a group having the formula ##STR77## wherein K and L are hydrogens or the pair K and L forms a single valence bond between the carbon atoms to which they are attached, a group having the formula --CH.sub.2 -- or a group having the formula --(CH.sub.2).sub.2 --, m is an integer of 0 or 1, and R is hydroxy, a group having the formula ##STR78## wherein R.sup.1 and R.sup.2 are the same or different and each is hydrogen or lower alkyl and p is an integer of 1 or 2, a group having the formula --NH--(CH.sub.2).sub.q --OH wherein q is an integer of 1 or 2, or a group having the formula ##STR79## or a pharmacologically acceptable salt thereof, and a pharmaceutically acceptable carrier."
1,4777200,A process according to claim 1 in which the water-immiscible liquid and the aqueous emulsion are blended and the water-soluble or swellable polymer particles are dispersed into the blend and absorb water from the blend.
2,4791746,The invention claimed in claim 1 wherein said flat surface of said body portion includes a portion adjacent said second lensed surface in non-abutting relation with said step of said passage.
3,4846785,"Instrument according to claim 14, wherein said sheath is fixed to said member by adhesive bonding or ultrasonic welding."
4,4835895,"A hand operable scope ring system for mounting a scope sight on the barrel of a firearm having a rib with cross-cuts which define base portions having a dovetailed cross-sectional outline and spaced cuts opening on the upper surface of the rib, said scope ring system including:a front ring member and a rear ring member, each ring member including a ring which releasably engages a scope and a mount portion which is releasably mounted on said rib of said barrel, said mount defining a channel for receiving said rib, said channel having an alignment stud extending therein for being received by a registering cut opening on said upper surface of said barrel rib, and securement means for receiving said dovetailed cross-sectional outline portion of said barrel rib, said securement means including a threadably advanced securement member which is moved into engagement with said barrel rib for securing said ring member in a zeroed position on said barrel rib, said threadably advanced securement member having an operatively associated lever arm to facilitate advancement thereof, and wherein said lever arm operatively associated with said front ring member and said lever arm operatively associated with said rear ring member are rotatable in opposite directions for advancing said operatively associated securement members into engagement with said cross-cuts for securing said ring members in said zeroed position, said lever arms being oriented at a selected angle on said securement members whereby when said ring members are placed in said zeroed position each of said lever arms are in a similar but oppositely directed attitude andmeans for facilitate rocking each ring member into position on said rib prior to rotation of said lever arms."
5,4846785,"Instrument according to claim 8, wherein said plug has a conical cavity located at a posterior end thereof, and further comprising a sterilized straw used to package semen or embryos located in said sheath with one end thereof received in said conical cavity."
6,4903124,"An apparatus according to claim 11, wherein said control means includes:(A) dynamic range detecting means for detecting the dynamic range of the sample data in each block; and(B) selecting means for selecting one of said plural types of vector quantization circuits in accordance with the sample data, dynamic range of each block of which is detected by said dynamic range detecting means."
7,4791746,The invention claimed in claim 4 wherein first lensed surface extends at least in part outwardly of said plate first surface.
8,4791746,"The invention claimed in claim 1 wherein said body portion has a sidewall extending between said first and second lens surfaces, the intersection surface of said first lensed surface and said sidewall being disposed interiorly of said first surface of said plate."
9,4923773,"An electrophotographic photoreceptor as set forth in claim 10, wherein nitrogen concentration is gradient within said surface layer."
10,4835895,The hand operable scope ring system of claim 5 wherein said dovetailed member and said threadably advanced securement member extend into said channel defined by said mount when said ring member is moved into said zeroed position.
11,4846785,"Instrument according to claim 1, further comprising an adhesively bonded or welded plug located within said sheath, wherein said needle is fixed into an anterior end of said plug."
12,4846785,"Instrument according to claim 1, wherein said needle is of metal and bevelled with three flats."
13,4846785,"Instrument according to claim 1, wherein said sheath is made from a flexible, deformable, transparent, non-toxic plastics material."
14,5064750,"The method for processing a silver halide color photographic material according to claim 1, wherein compounds of general formula (A) are joined to form a polymer."
15,4903124,"An apparatus according to claim 11, wherein said control means includes:(A) correlation detecting means for detecting a correlation tendency of the sample data in each block; and(B) selecting means for selecting one of said plural types of vector quantization circuits in accordance with the sample data correlation tendency of each block which is detected by said correlation detecting means."
16,4903124,"An apparatus according to claim 2, wherein said first coding means is arrangedto calculate dynamic range data of the sample data in each block by subtracting the minimum value data generated by said minimum value data generating means from the maximum value data generated by said maximum value data generating means;to calculate quantization step width data representing a quantization step width by dividing the dynamic range data by 2.sup.n (n is a positive integer);to divide the dynamic range represented by the dynamic range data by a value substantially half the quantization step width data to obtain (2n+1) (n is a positive integer) sections; andto convert each sample data in each block into the first coded data representing a correspondence between one of the (2n+1) sections and each sample data, and to output the first coded data."
17,4923773,"An electrophotographic photoreceptor as set forth in claim 1, wherein said support is electrically insulative support having an electrically conductive surface."
18,4777200,A process according to claim 5 in which the viscosifying polymer particles have a dry weight average particle size of below 10 .mu.m and are insoluble in the water-immiscible liquid but are swollen by the liquid.
19,4777200,"A process for making a stable dispersion of water-swellable or water-soluble polymer particles in a thickened water-immiscible liquid by adding to a water-immiscible liquid an aqueous emulsion of particles of water insoluble viscosifying polymer, formed by oil-in-water emulsion polymerisation, and then removing water from around the particles of viscosifying polymer by dehydration or agitation of the water-immiscible liquid, whereby the water-immiscible liquid becomes thickened by the viscosifying polymer, and said water-immiscible liquid contains water swellable or water-soluble polymer particles dispersed therein either before or after said aqueous emulsion addition."
20,4835895,"A hand operable scope ring system for repetitively mounting a scope sight in a zeroed position on the barrel of a firearm having a rib with cross-cuts, each cross-cut having oppositely disposed surfaces, which define base portions having a dovetailed cross-sectional outline and spaced cuts opening on the upper surface of said rib, said scope ring system comprising:a front ring member and a rear ring member, each ring member including(a) a ring portion which releasably engages a scope sight,(b) a mount portion which is releasably mounted on said rib of said barrel, said mount portion defining a channel to receive said rib, said mount portion having an alignment stud extending into said channel for being received by a registering cut opening on said upper surface of said rib, one side of said channel defining a dovetailed surface for engagement with one of said oppositely disposed surfaces of said cross-cuts,(c) securement means for releasably securing said mount portion to said barrel, said securement means including a first securement member defining a surface for engagement with a second of said oppositely disposed surfaces of said cross-cuts, said first securement member having an externally threaded bolt portion passing through said mount portion, and a second securement member threadably engaged with said bolt portion for movement into engagement with said mount portion for securing said ring member in a zeroed position on said rib, said first securement member having an exposed surface provided with a knurled portion of parallel ridges, said knurled portion providing for engagement by a finger of a user to facilitate rocking said ring member into position prior to said movement of said second securement member into engagement with said mount portion, and(d) a lever arm operatively associated with said second securement member at a selected orientation for use in threadably advancing said second securement member on said bolt portion;said selected orientation of said lever arm of said front ring member and said lever arm of said rear ring member chosen whereby when said ring members are placed in said zeroed position on said rib said lever arms have a similar rotational attitude."
21,5155047,"The apparatus of claim 7 in combination with a coal combustion plant, said apparatus further comprising a programmed controller means connected with the combustion plant, said detector, said sampling device, said reaction gas source, said baffle plate, said laser source, said means for positioning the source, said exhaust means, said ejector and said heating means for initiating at predetermined time intervals the sampling and analysis of the ash from the combustion plant, and for controlling the coal combustion of the combustion plant according to a predetermined program and the analysis results provided from said detector."
22,5155047,The method of claim 2 wherein the power of said laser beam is from 20 to 30 watts.
23,4903124,"An apparatus according to claim 4, wherein said second coding means includes plural types of vector quantization circuits for performing vector quantization in different combinations of the plurality of first coded data formed by said first coding means in units of blocks and for forming plural types of vector-quantized data in units of blocks."
