,patent_id,text
0,6401142,"The network interface of claim 1, wherein the memory management unit includes a descriptor management block that generates a master signal in response to the master transfer request."
1,5394037,The sense amplifier of claim 4 wherein V1 is ground and V2 is a positive voltage.
2,6074152,"The binding machine of claim 7, wherein said hopper comprises: seats formed in internal walls thereof; a hopper comb provided with a plurality of teeth which are inserted in the dispensing holes for arranging correctly the disks in said guides; and wings for engaging corresponding ones of said hopper seats, to provide adjustment of the hopper comb at various positions according to different dimensions of the disks to be fed."
3,6517221,"An optical device in accordance with claim 5, wherein said semiconductor laser, said heat dissipating element, and said additional heat dissipating element are provided on a common substrate."
4,5601944,"The battery of claim 12, wherein the upwardly projecting portion of the gasket includes an upwardly extending distal end, the upwardly extending distal end includes an arch-shaped outer portion for making contact with the inside wall of the negative electrode cup."
5,6039733,A method according to claim 11 wherein said step of providing includes providing a lost motion connector comprising a yielding member having a hydraulic coupling.
6,5571066,The combination of claim 1 wherein the internal heating system is positioned next to each roll end face.
7,5977466,"A resistance generator provided for a mechanism having a first member movable with respect to a second member, comprising:a third member fixed to said first member;a fourth member stationary with respect to said second member;a sensor monitoring said first member, and producing a piece of status information representative of current status of said first member;an actuator responsive to an instruction representative of a force for pressing said third member and said fourth member to each other so as to vary a friction therebetween; anda controller responsive to said piece of status information so as to change said force represented by said instruction."
8,7372485,"7. The method of claim 1 , wherein said step of converting said luminosity information into a color image includes: interpolating color information for the image from said luminosity information."
9,5020242,"The guide roll of claim 2, wherein said outside pipe has spacer bolts arranged thereon, said spacer bolts extending toward and bearing on said inside pipe whereby axial movement may be effected between said outside pipe and said inside pipe."
10,6411584,The disk drive system according to claim 10 wherein said base plate includes one pair of substantially vertical slots in which said lifting pins are accommodated in a raising and lowering motion of the receiver.
11,6301173,"A memory circuit, in which a first stage for decoding commands, a second stage for activating a sense amplifier, and a third stage for inputting and outputting data are in pipeline configuration, and a plurality of data is transferred in parallel between said sense amplifier and the third stage, comprising:a plurality of sub-cell matrices which are divided in the word direction and have a plurality of memory cells, a plurality of word lines, and a plurality of bit line pairs respectively,wherein said sub-cell matrix further comprises:a sense amplifier which is shared by a first bit line pair and a second bit line pair disposed in the column direction and amplifies a voltage of the bit line pairs;a first and second bit line transfer gates which are disposed between said sense amplifier and the first and second bit line pairs and connect the bit line pair at the selected memory cell side to said sense amplifier;a bit line clamper which is disposed between said first and second bit line transfer gates, shared by said first bit line pair and the second bit line pair, and supplies precharge level to the bit line pairs; anda bit line short circuit which is disposed at said first and second bit line pairs respectively and shorts the bit line pairs."
12,5921378,The conveyor of claim 6 wherein said drive means defines a plurality of radially-oriented notches disposed along the circumferential surface of said drum for engaging said driven portions of said flexible connectors.
13,5571066,"Method as in claim 8, wherein the internal heating is switched off as soon as the preset temperature limit is reached."
14,5790530,"A method of formatting messages for transferring the messages according to claim 13, wherein the control information flit comprises: a control information flit for control packet for transferring the control message; a control information flit for data control packet for transferring the data transfer information of the data message; a control information flit for data packet for transferring the data portion of the data message; and a control information flit for acknowledgement packet for replying an acknowledgement to the transferred packet."
15,5128192,"A ducted core structure formed from preimpregnated thermoplastic fiber yarn comprising a plurality of ducts with mutually joining walls, said walls being formed of braided preimpreganted thermoplastic fiber yarn."
16,5652359,A homooligonucleotide of claim 1 wherein R.sub.2 is methyl.
17,5562608,"The method of claim 2, wherein said dispersing accomplished by passing said biological agent through nozzles located within a flow of said liquid carrier."
